,Asian,Black,Hispanic,Mixed,Other,White,postal_code
241,12.1%,5.0%,13.1%,2.5%,0.3%,67.0%,77056
242,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,15018
243,5.6%,10.0%,19.2%,3.0%,0.5%,61.7%,89131
244,6.4%,11.8%,3.1%,3.2%,0.1%,75.3%,21211
245,1.0%,15.3%,71.3%,1.1%,0.9%,10.5%,89030
246,2.1%,7.3%,69.3%,1.7%,3.0%,16.6%,85043
247,3.4%,4.7%,70.7%,0.8%,1.7%,18.7%,85019
248,0.9%,0.3%,1.0%,1.2%,0.0%,96.5%,15144
249,7.9%,8.3%,18.4%,4.5%,1.3%,59.6%,89129
250,0.4%,4.7%,81.7%,0.3%,1.8%,11.1%,85009
251,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,53702
252,0.6%,5.7%,4.2%,2.1%,0.3%,87.2%,48161
253,2.7%,1.7%,1.9%,0.9%,0.0%,92.9%,44022
254,5.3%,14.1%,2.6%,1.2%,1.0%,75.8%,28075
255,2.1%,0.3%,18.3%,1.9%,63.0%,14.3%,85256
256,3.7%,71.0%,1.3%,1.8%,0.1%,22.0%,44120
257,2.6%,25.5%,1.3%,1.0%,0.6%,69.0%,15224
258,5.2%,3.0%,12.0%,2.9%,0.8%,76.1%,85308
259,0.6%,8.6%,3.4%,2.3%,1.0%,84.0%,29710
260,0.0%,0.0%,0.0%,0.9%,0.0%,99.1%,15076
261,0.7%,1.7%,1.5%,0.0%,0.3%,95.7%,53518
262,0.0%,0.0%,0.1%,0.0%,0.0%,99.9%,85377
263,13.0%,2.4%,24.5%,1.4%,0.3%,58.4%,91205
264,4.1%,8.9%,1.6%,1.8%,0.1%,83.4%,44124
265,7.8%,4.0%,5.7%,3.1%,0.3%,79.0%,53715
266,0.3%,0.0%,0.7%,1.3%,0.0%,97.7%,61854
267,3.5%,1.1%,1.4%,2.1%,0.2%,91.7%,15067
268,0.2%,19.4%,1.4%,2.4%,0.2%,76.4%,15148
269,1.9%,3.0%,7.0%,2.0%,1.1%,85.0%,85310
270,5.3%,3.2%,1.5%,0.7%,0.2%,89.2%,44236
271,1.6%,2.8%,21.2%,1.6%,2.2%,70.6%,85142
272,0.0%,0.0%,1.6%,0.0%,2.7%,95.6%,44253
273,5.7%,72.5%,5.5%,1.7%,0.3%,14.3%,28208
